Pc;Pm;N;T;mean;median;minimum;maximum;std_dev
0.6;0.01;50;500;13481382.6;13525791.0;13368859;13576269;87973.973
0.6;0.01;100;500;13541081.2;13554933.0;13445038;13599009;63190.434
0.6;0.01;200;500;13616306.4;13616938.0;13573693;13669393;39640.212
0.6;0.05;50;500;13584829.4;13584608.0;13530261;13646380;42826.293
0.6;0.05;100;500;13621832.6;13623531.0;13572997;13663158;33162.898
0.6;0.05;200;500;13644974.2;13656377.0;13599080;13699065;43330.883
0.6;0.1;50;500;13537653.6;13536393.0;13482298;13580332;37650.379
0.6;0.1;100;500;13583479.4;13618671.0;13507331;13646380;63932.057
0.6;0.1;200;500;13588138.8;13592012.0;13568511;13602426;14172.14
0.8;0.01;50;500;13516420.4;13553663.0;13341121;13618671;115522.18
0.8;0.01;100;500;13585520.2;13606941.0;13509482;13656377;62382.398
0.8;0.01;200;500;13641568.8;13648545.0;13612011;13656377;18198.861
0.8;0.05;50;500;13589118.6;13599738.0;13555662;13632091;32406.14
0.8;0.05;100;500;13606294.4;13606652.0;13569460;13653419;31439.545
0.8;0.05;200;500;13626298.0;13616719.0;13612642;13669393;24183.122
0.8;0.1;50;500;13536055.2;13513867.0;13503367;13624111;49981.735
0.8;0.1;100;500;13567022.0;13575306.0;13525129;13623531;41836.067
0.8;0.1;200;500;13578364.4;13583206.0;13544852;13598946;20361.136
1.0;0.01;50;500;13503936.0;13472309.0;13343798;13638943;117683.051
1.0;0.01;100;500;13582390.2;13566519.0;13510397;13692887;67613.469
1.0;0.01;200;500;13638742.8;13669393.0;13549399;13692887;58038.845
1.0;0.05;50;500;13566703.0;13581712.0;13511241;13592051;34086.246
1.0;0.05;100;500;13613541.2;13604517.0;13568036;13683937;43273.367
1.0;0.05;200;500;13622576.2;13623079.0;13603263;13644380;18694.929
1.0;0.1;50;500;13522915.0;13509755.0;13461250;13598893;57551.413
1.0;0.1;100;500;13568142.8;13575075.0;13535538;13589439;20216.052
1.0;0.1;200;500;13585143.6;13584745.0;13554387;13626608;29314.243
